Time,True,Pred_Mu,Pred_Alpha,Error,Week,Hour
2025-05-25 18:40:00,22,23,23.43853,-1,6.0,18.0
2025-05-25 19:00:00,23,18,18.20951,5,6.0,19.0
2025-05-25 19:20:00,29,23,22.769516,6,6.0,19.0
2025-05-25 19:40:00,17,19,18.597763,-2,6.0,19.0
2025-05-25 20:00:00,8,12,11.809018,-4,6.0,20.0
2025-05-25 20:20:00,14,10,10.183856,4,6.0,20.0
2025-05-25 20:40:00,18,14,13.999584,4,6.0,20.0
2025-05-25 21:00:00,19,23,22.821945,-4,6.0,21.0
2025-05-25 21:20:00,18,24,23.535294,-6,6.0,21.0
2025-05-25 21:40:00,13,22,21.983173,-9,6.0,21.0
2025-05-25 22:00:00,59,52,50.988842,7,6.0,22.0
2025-05-25 22:20:00,66,77,76.923195,-11,6.0,22.0
2025-05-25 22:40:00,71,62,61.824356,9,6.0,22.0
2025-05-25 23:00:00,81,70,69.3007,11,6.0,23.0
2025-05-25 23:20:00,75,73,71.83312,2,6.0,23.0
2025-05-25 23:40:00,60,69,68.30088,-9,6.0,23.0
2025-05-26 00:00:00,36,45,44.710724,-9,0.0,0.0
2025-05-26 00:20:00,38,45,44.47267,-7,0.0,0.0
2025-05-26 00:40:00,55,47,46.53045,8,0.0,0.0
2025-05-26 01:00:00,51,51,50.80134,0,0.0,1.0
2025-05-26 01:20:00,29,34,33.49153,-5,0.0,1.0
2025-05-26 01:40:00,34,36,36.187466,-2,0.0,1.0
2025-05-26 02:00:00,37,31,30.64843,6,0.0,2.0
2025-05-26 02:20:00,34,37,37.12134,-3,0.0,2.0
2025-05-26 02:40:00,31,27,26.435184,4,0.0,2.0
2025-05-26 03:00:00,26,28,27.830853,-2,0.0,3.0
2025-05-26 03:20:00,28,21,20.652386,7,0.0,3.0
2025-05-26 03:40:00,18,21,20.833574,-3,0.0,3.0
2025-05-26 04:00:00,25,10,9.905542,15,0.0,4.0
2025-05-26 04:20:00,28,25,24.624146,3,0.0,4.0
2025-05-26 04:40:00,27,26,25.601788,1,0.0,4.0
2025-05-26 05:00:00,22,24,23.971643,-2,0.0,5.0
2025-05-26 05:20:00,21,24,23.993402,-3,0.0,5.0
2025-05-26 05:40:00,25,25,24.628653,0,0.0,5.0
2025-05-26 06:00:00,25,22,22.214832,3,0.0,6.0
2025-05-26 06:20:00,11,13,12.869255,-2,0.0,6.0
2025-05-26 06:40:00,5,5,5.453333,0,0.0,6.0
2025-05-26 07:00:00,5,4,4.017709,1,0.0,7.0
2025-05-26 07:20:00,10,8,8.509009,2,0.0,7.0
2025-05-26 07:40:00,9,12,12.347038,-3,0.0,7.0
2025-05-26 08:00:00,5,10,9.777653,-5,0.0,8.0
2025-05-26 08:20:00,12,4,4.0532165,8,0.0,8.0
2025-05-26 08:40:00,13,18,17.689217,-5,0.0,8.0
2025-05-26 09:00:00,5,11,11.20827,-6,0.0,9.0
2025-05-26 09:20:00,9,5,5.360121,4,0.0,9.0
2025-05-26 09:40:00,13,14,13.781614,-1,0.0,9.0
2025-05-26 10:00:00,13,10,10.073201,3,0.0,10.0
2025-05-26 10:20:00,11,16,15.462812,-5,0.0,10.0
2025-05-26 10:40:00,26,22,21.589613,4,0.0,10.0
2025-05-26 11:00:00,44,39,38.444977,5,0.0,11.0
2025-05-26 11:20:00,58,50,50.05779,8,0.0,11.0
2025-05-26 11:40:00,56,58,57.654663,-2,0.0,11.0
2025-05-26 12:00:00,53,62,61.167686,-9,0.0,12.0
2025-05-26 12:20:00,43,50,49.31571,-7,0.0,12.0
2025-05-26 12:40:00,45,49,49.093643,-4,0.0,12.0
2025-05-26 13:00:00,37,36,36.020035,1,0.0,13.0
2025-05-26 13:20:00,43,32,32.030792,11,0.0,13.0
2025-05-26 13:40:00,43,42,41.803062,1,0.0,13.0
2025-05-26 14:00:00,41,45,44.525158,-4,0.0,14.0
2025-05-26 14:20:00,42,42,41.790985,0,0.0,14.0
2025-05-26 14:40:00,63,40,40.054665,23,0.0,14.0
2025-05-26 15:00:00,51,48,47.60264,3,0.0,15.0
2025-05-26 15:20:00,43,29,28.340483,14,0.0,15.0
2025-05-26 15:40:00,40,42,41.64836,-2,0.0,15.0
2025-05-26 16:00:00,36,39,38.855972,-3,0.0,16.0
2025-05-26 16:20:00,34,37,36.63066,-3,0.0,16.0
2025-05-26 16:40:00,29,39,38.596046,-10,0.0,16.0
2025-05-26 17:00:00,24,29,29.175732,-5,0.0,17.0
2025-05-26 17:20:00,29,25,25.017962,4,0.0,17.0
2025-05-26 17:40:00,29,28,27.89754,1,0.0,17.0
2025-05-26 18:00:00,16,26,25.483913,-10,0.0,18.0
2025-05-26 18:20:00,15,15,14.821797,0,0.0,18.0
2025-05-26 18:40:00,14,18,18.294548,-4,0.0,18.0
2025-05-26 19:00:00,11,14,14.308567,-3,0.0,19.0
2025-05-26 19:20:00,19,6,6.5065312,13,0.0,19.0
2025-05-26 19:40:00,19,22,21.587025,-3,0.0,19.0
2025-05-26 20:00:00,11,14,14.29061,-3,0.0,20.0
2025-05-26 20:20:00,8,9,9.611583,-1,0.0,20.0
2025-05-26 20:40:00,4,8,8.731615,-4,0.0,20.0
2025-05-26 21:00:00,31,18,17.77932,13,0.0,21.0
2025-05-26 21:20:00,34,36,35.792767,-2,0.0,21.0
2025-05-26 21:40:00,32,39,38.62227,-7,0.0,21.0
